state_name,geoid,name,report_date,last_update,confirmed,confirmed_rate,deaths,mortality_rate,case_fatality_rate,recovered
Missouri,29027,Callaway,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29029,Camden,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29031,Cape Girardeau,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29033,Carroll,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29035,Carter,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29037,Cass,2020-03-22,2020-03-22T23:45:00Z,6,0.05843510781277391,0,0,0,0
Missouri,29039,Cedar,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29041,Chariton,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29043,Christian,2020-03-22,2020-03-22T23:45:00Z,2,0.02373183031741323,0,0,0,0
Missouri,29045,Clark,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29047,Clay,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29049,Clinton,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29051,Cole,2020-03-22,2020-03-22T23:45:00Z,3,0.039093041438623924,0,0,0,0
Missouri,29053,Cooper,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29055,Crawford,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29057,Dade,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29059,Dallas,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29061,Daviess,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29063,DeKalb,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29065,Dent,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29067,Douglas,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29069,Dunklin,2020-03-22,2020-03-22T23:45:00Z,1,0.032864466938346264,0,0,0,0
Missouri,29071,Franklin,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29073,Gasconade,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29075,Gentry,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29077,Greene,2020-03-22,2020-03-22T23:45:00Z,10,0.03467057750780955,0,0,0,0
Missouri,29079,Grundy,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29081,Harrison,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29083,Henry,2020-03-22,2020-03-22T23:45:00Z,1,0.04594532506317482,0,0,0,0
Missouri,29085,Hickory,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29087,Holt,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29089,Howard,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29091,Howell,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29093,Iron,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29095,Jackson,2020-03-22,2020-03-22T23:45:00Z,8,0.01156064352322172,1,0.001445080440402715,12.5,0
Missouri,29097,Jasper,2020-03-22,2020-03-22T23:45:00Z,1,0.008386588168201412,0,0,0,0
Missouri,29099,Jefferson,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29101,Johnson,2020-03-22,2020-03-22T23:45:00Z,1,0.018625789267820225,0,0,0,0
Missouri,29103,Knox,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29105,Laclede,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29107,Lafayette,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29109,Lawrence,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29111,Lewis,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29113,Lincoln,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29115,Linn,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29117,Livingston,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29119,McDonald,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29121,Macon,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29123,Madison,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29125,Maries,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29127,Marion,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29129,Mercer,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29131,Miller,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29133,Mississippi,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29135,Moniteau,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29137,Monroe,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29139,Montgomery,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29141,Morgan,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29143,New Madrid,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29145,Newton,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29147,Nodaway,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29149,Oregon,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29151,Osage,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29153,Ozark,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29155,Pemiscot,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29157,Perry,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29159,Pettis,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29161,Phelps,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29163,Pike,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29165,Platte,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29167,Polk,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29169,Pulaski,2020-03-22,2020-03-22T23:45:00Z,1,0.019014660303093685,0,0,0,0
Missouri,29171,Putnam,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29173,Ralls,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29175,Randolph,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29177,Ray,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29179,Reynolds,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29181,Ripley,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29183,St. Charles,2020-03-22,2020-03-22T23:45:00Z,3,0.00769260356167545,0,0,0,0
Missouri,29185,St. Clair,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29186,Ste. Genevieve,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29187,St. Francois,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29189,St. Louis,2020-03-22,2020-03-22T23:45:00Z,22,0.022028990151038767,1,0.0010013177341381258,4.545454545454546,0
Missouri,29195,Saline,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29197,Schuyler,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29199,Scotland,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29201,Scott,2020-03-22,2020-03-22T23:45:00Z,1,0.025820444628056494,0,0,0,0
Missouri,29203,Shannon,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29205,Shelby,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29207,Stoddard,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29209,Stone,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29211,Sullivan,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29213,Taney,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29215,Texas,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29217,Vernon,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29219,Warren,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29221,Washington,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29223,Wayne,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29225,Webster,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
