report_date,geoid,county,state,confirmed,confirmed_rate,new_confirmed,confirmed_avg,deaths,mortality_rate,new_deaths,deaths_avg,case_fatality_rate
2020-02-04,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-04,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-04,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-04,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-04,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-04,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-04,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-04,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-04,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-05,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-05,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-05,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-05,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-05,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-05,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-05,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-05,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-05,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-05,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-05,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-05,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-05,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-05,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-05,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-06,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-06,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-06,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-06,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-06,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-06,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-06,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-06,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-06,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-06,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-06,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-06,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-06,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-06,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-06,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-07,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
